instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,season_name,weather_desc,month,dayofweek,casual_ratio,Cluster
11,2011-01-11,1,0,1,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.169091,0.191464,0.686364,0.122132,43,1220,1263,2011,Spring,Mist,January,1,0.03524590163934426,2
12,2011-01-12,1,0,1,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.172727,0.160473,0.599545,0.304627,25,1137,1162,2011,Spring,Clear,January,2,0.02198768689533861,2
13,2011-01-13,1,0,1,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.165,0.150883,0.470417,0.301,38,1368,1406,2011,Spring,Clear,January,3,0.027777777777777776,2
14,2011-01-14,1,0,1,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.16087,0.188413,0.537826,0.126548,54,1367,1421,2011,Spring,Clear,January,4,0.03950256035113387,2
15,2011-01-15,1,0,1,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.233333,0.248112,0.49875,0.157963,222,1026,1248,2011,Spring,Mist,January,5,0.21637426900584794,2
16,2011-01-16,1,0,1,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.231667,0.234217,0.48375,0.188433,251,953,1204,2011,Spring,Clear,January,6,0.2633788037775446,2
17,2011-01-17,1,0,1,1,1,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.175833,0.176771,0.5375,0.194017,117,883,1000,2011,Spring,Mist,January,0,0.13250283125707815,2
18,2011-01-18,1,0,1,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.216667,0.232333,0.861667,0.146775,9,674,683,2011,Spring,Mist,January,1,0.013353115727002967,2
19,2011-01-19,1,0,1,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.292174,0.298422,0.741739,0.208317,78,1572,1650,2011,Spring,Mist,January,2,0.04961832061068702,2
20,2011-01-20,1,0,1,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.261667,0.25505,0.538333,0.195904,83,1844,1927,2011,Spring,Mist,January,3,0.045010845986984814,2
21,2011-01-21,1,0,1,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.1775,0.157833,0.457083,0.353242,75,1468,1543,2011,Spring,Clear,January,4,0.05108991825613079,2
22,2011-01-22,1,0,1,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.0591304,0.0790696,0.4,0.17197,93,888,981,2011,Spring,Clear,January,5,0.10472972972972973,2
23,2011-01-23,1,0,1,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.0965217,0.0988391,0.436522,0.2466,150,836,986,2011,Spring,Clear,January,6,0.17942583732057416,2
24,2011-01-24,1,0,1,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.0973913,0.11793,0.491739,0.15833,86,1330,1416,2011,Spring,Clear,January,0,0.06466165413533835,2
25,2011-01-25,1,0,1,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.223478,0.234526,0.616957,0.129796,186,1799,1985,2011,Spring,Mist,January,1,0.10339077265147303,2
26,2011-01-26,1,0,1,0,3,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.2175,0.2036,0.8625,0.29385,34,472,506,2011,Spring,Light Rain/Snow,January,2,0.07203389830508475,2
27,2011-01-27,1,0,1,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.195,0.2197,0.6875,0.113837,15,416,431,2011,Spring,Clear,January,3,0.036057692307692304,2
28,2011-01-28,1,0,1,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.203478,0.223317,0.793043,0.1233,38,1129,1167,2011,Spring,Mist,January,4,0.03365810451727192,2
29,2011-01-29,1,0,1,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.196522,0.212126,0.651739,0.145365,123,975,1098,2011,Spring,Clear,January,5,0.12615384615384614,2
30,2011-01-30,1,0,1,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.216522,0.250322,0.722174,0.0739826,140,956,1096,2011,Spring,Clear,January,6,0.14644351464435146,2
31,2011-01-31,1,0,1,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.180833,0.18625,0.60375,0.187192,42,1459,1501,2011,Spring,Mist,January,0,0.02878684030157642,2
32,2011-02-01,1,0,2,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.192174,0.23453,0.829565,0.053213,47,1313,1360,2011,Spring,Mist,February,1,0.0357958872810358,2
33,2011-02-02,1,0,2,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.26,0.254417,0.775417,0.264308,72,1454,1526,2011,Spring,Mist,February,2,0.04951856946354883,2
34,2011-02-03,1,0,2,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.186957,0.177878,0.437826,0.277752,61,1489,1550,2011,Spring,Clear,February,3,0.0409670920080591,2
35,2011-02-04,1,0,2,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.211304,0.228587,0.585217,0.127839,88,1620,1708,2011,Spring,Mist,February,4,0.05432098765432099,2
36,2011-02-05,1,0,2,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.233333,0.243058,0.929167,0.161079,100,905,1005,2011,Spring,Mist,February,5,0.11049723756906077,2
37,2011-02-06,1,0,2,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.285833,0.291671,0.568333,0.1418,354,1269,1623,2011,Spring,Clear,February,6,0.2789598108747045,2
38,2011-02-07,1,0,2,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.271667,0.303658,0.738333,0.0454083,120,1592,1712,2011,Spring,Clear,February,0,0.07537688442211055,2
39,2011-02-08,1,0,2,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.220833,0.198246,0.537917,0.36195,64,1466,1530,2011,Spring,Clear,February,1,0.04365620736698499,2
40,2011-02-09,1,0,2,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.134783,0.144283,0.494783,0.188839,53,1552,1605,2011,Spring,Mist,February,2,0.03414948453608247,2
41,2011-02-10,1,0,2,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.144348,0.149548,0.437391,0.221935,47,1491,1538,2011,Spring,Clear,February,3,0.031522468142186455,2
42,2011-02-11,1,0,2,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.189091,0.213509,0.506364,0.10855,149,1597,1746,2011,Spring,Clear,February,4,0.09329993738259236,2
43,2011-02-12,1,0,2,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2225,0.232954,0.544167,0.203367,288,1184,1472,2011,Spring,Clear,February,5,0.24324324324324326,2
44,2011-02-13,1,0,2,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.316522,0.324113,0.457391,0.260883,397,1192,1589,2011,Spring,Clear,February,6,0.33305369127516776,2
45,2011-02-14,1,0,2,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.415,0.39835,0.375833,0.417908,208,1705,1913,2011,Spring,Clear,February,0,0.1219941348973607,2
46,2011-02-15,1,0,2,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.266087,0.254274,0.314348,0.291374,140,1675,1815,2011,Spring,Clear,February,1,0.08358208955223881,2
47,2011-02-16,1,0,2,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.318261,0.3162,0.423478,0.251791,218,1897,2115,2011,Spring,Clear,February,2,0.11491829204006326,2
48,2011-02-17,1,0,2,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.435833,0.428658,0.505,0.230104,259,2216,2475,2011,Spring,Clear,February,3,0.11687725631768953,2
49,2011-02-18,1,0,2,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.521667,0.511983,0.516667,0.264925,579,2348,2927,2011,Spring,Clear,February,4,0.24659284497444633,2
50,2011-02-19,1,0,2,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.399167,0.391404,0.187917,0.507463,532,1103,1635,2011,Spring,Clear,February,5,0.4823209428830462,2
51,2011-02-20,1,0,2,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.285217,0.27733,0.407826,0.223235,639,1173,1812,2011,Spring,Clear,February,6,0.5447570332480819,2
52,2011-02-21,1,0,2,1,1,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.303333,0.284075,0.605,0.307846,195,912,1107,2011,Spring,Mist,February,0,0.2138157894736842,2
53,2011-02-22,1,0,2,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.182222,0.186033,0.577778,0.195683,74,1376,1450,2011,Spring,Clear,February,1,0.05377906976744186,2
54,2011-02-23,1,0,2,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.221739,0.245717,0.423043,0.094113,139,1778,1917,2011,Spring,Clear,February,2,0.078177727784027,2
55,2011-02-24,1,0,2,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.295652,0.289191,0.697391,0.250496,100,1707,1807,2011,Spring,Mist,February,3,0.05858230814294083,2
56,2011-02-25,1,0,2,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.364348,0.350461,0.712174,0.346539,120,1341,1461,2011,Spring,Mist,February,4,0.0894854586129754,2
57,2011-02-26,1,0,2,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2825,0.282192,0.537917,0.186571,424,1545,1969,2011,Spring,Clear,February,5,0.2744336569579288,2
58,2011-02-27,1,0,2,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.343478,0.351109,0.68,0.125248,694,1708,2402,2011,Spring,Clear,February,6,0.4063231850117096,2
59,2011-02-28,1,0,2,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.407273,0.400118,0.876364,0.289686,81,1365,1446,2011,Spring,Mist,February,0,0.05934065934065934,2
60,2011-03-01,1,0,3,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.266667,0.263879,0.535,0.216425,137,1714,1851,2011,Spring,Clear,March,1,0.07992998833138856,2
61,2011-03-02,1,0,3,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.335,0.320071,0.449583,0.307833,231,1903,2134,2011,Spring,Clear,March,2,0.12138728323699421,2
62,2011-03-03,1,0,3,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.198333,0.200133,0.318333,0.225754,123,1562,1685,2011,Spring,Clear,March,3,0.07874519846350832,2
63,2011-03-04,1,0,3,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.261667,0.255679,0.610417,0.203346,214,1730,1944,2011,Spring,Mist,March,4,0.12369942196531791,2
64,2011-03-05,1,0,3,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.384167,0.378779,0.789167,0.251871,640,1437,2077,2011,Spring,Mist,March,5,0.4453723034098817,2
65,2011-03-06,1,0,3,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.376522,0.366252,0.948261,0.343287,114,491,605,2011,Spring,Mist,March,6,0.23217922606924643,2
66,2011-03-07,1,0,3,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.261739,0.238461,0.551304,0.341352,244,1628,1872,2011,Spring,Clear,March,0,0.14987714987714987,2
67,2011-03-08,1,0,3,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.2925,0.3024,0.420833,0.12065,316,1817,2133,2011,Spring,Clear,March,1,0.17391304347826086,2
68,2011-03-09,1,0,3,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.295833,0.286608,0.775417,0.22015,191,1700,1891,2011,Spring,Mist,March,2,0.11235294117647059,2
69,2011-03-10,1,0,3,0,4,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.389091,0.385668,0.0,0.261877,46,577,623,2011,Spring,Light Rain/Snow,March,3,0.07972270363951472,2
70,2011-03-11,1,0,3,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.316522,0.305,0.649565,0.23297,247,1730,1977,2011,Spring,Mist,March,4,0.14277456647398845,2
71,2011-03-12,1,0,3,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.329167,0.32575,0.594583,0.220775,724,1408,2132,2011,Spring,Clear,March,5,0.5142045454545454,2
72,2011-03-13,1,0,3,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.384348,0.380091,0.527391,0.270604,982,1435,2417,2011,Spring,Clear,March,6,0.6843205574912892,2
73,2011-03-14,1,0,3,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.325217,0.332,0.496957,0.136926,359,1687,2046,2011,Spring,Clear,March,0,0.21280379371665678,2
74,2011-03-15,1,0,3,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.317391,0.318178,0.655652,0.184309,289,1767,2056,2011,Spring,Mist,March,1,0.16355404640633842,2
75,2011-03-16,1,0,3,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.365217,0.36693,0.776522,0.203117,321,1871,2192,2011,Spring,Mist,March,2,0.17156600748262962,2
76,2011-03-17,1,0,3,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.415,0.410333,0.602917,0.209579,424,2320,2744,2011,Spring,Clear,March,3,0.18275862068965518,2
77,2011-03-18,1,0,3,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.54,0.527009,0.525217,0.231017,884,2355,3239,2011,Spring,Clear,March,4,0.3753715498938429,0
78,2011-03-19,1,0,3,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4725,0.466525,0.379167,0.368167,1424,1693,3117,2011,Spring,Clear,March,5,0.8411104548139398,2
79,2011-03-20,1,0,3,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3325,0.32575,0.47375,0.207721,1047,1424,2471,2011,Spring,Clear,March,6,0.735252808988764,2
80,2011-03-21,2,0,3,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.430435,0.409735,0.737391,0.288783,401,1676,2077,2011,Summer,Mist,March,0,0.2392601431980907,2
81,2011-03-22,2,0,3,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.441667,0.440642,0.624583,0.22575,460,2243,2703,2011,Summer,Clear,March,1,0.2050824788230049,2
82,2011-03-23,2,0,3,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.346957,0.337939,0.839565,0.234261,203,1918,2121,2011,Summer,Mist,March,2,0.10583941605839416,2
83,2011-03-24,2,0,3,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.285,0.270833,0.805833,0.243787,166,1699,1865,2011,Summer,Mist,March,3,0.09770453207769277,2
84,2011-03-25,2,0,3,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.264167,0.256312,0.495,0.230725,300,1910,2210,2011,Summer,Clear,March,4,0.15706806282722513,2
85,2011-03-26,2,0,3,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.265833,0.257571,0.394167,0.209571,981,1515,2496,2011,Summer,Clear,March,5,0.6475247524752475,2
86,2011-03-27,2,0,3,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.253043,0.250339,0.493913,0.1843,472,1221,1693,2011,Summer,Mist,March,6,0.38656838656838655,2
87,2011-03-28,2,0,3,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.264348,0.257574,0.302174,0.212204,222,1806,2028,2011,Summer,Clear,March,0,0.12292358803986711,2
88,2011-03-29,2,0,3,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.3025,0.292908,0.314167,0.226996,317,2108,2425,2011,Summer,Clear,March,1,0.15037950664136623,2
89,2011-03-30,2,0,3,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.3,0.29735,0.646667,0.172888,168,1368,1536,2011,Summer,Mist,March,2,0.12280701754385964,2
90,2011-03-31,2,0,3,0,4,1,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.268333,0.257575,0.918333,0.217646,179,1506,1685,2011,Summer,Light Rain/Snow,March,3,0.11885790172642763,2
91,2011-04-01,2,0,4,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.3,0.283454,0.68625,0.258708,307,1920,2227,2011,Summer,Mist,April,4,0.15989583333333332,2
92,2011-04-02,2,0,4,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.315,0.315637,0.65375,0.197146,898,1354,2252,2011,Summer,Mist,April,5,0.6632200886262924,2
93,2011-04-03,2,0,4,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.378333,0.378767,0.48,0.182213,1651,1598,3249,2011,Summer,Clear,April,6,1.0331664580725908,0
94,2011-04-04,2,0,4,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.573333,0.542929,0.42625,0.385571,734,2381,3115,2011,Summer,Clear,April,0,0.30827383452330953,2
95,2011-04-05,2,0,4,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.414167,0.39835,0.642083,0.388067,167,1628,1795,2011,Summer,Mist,April,1,0.10257985257985258,2
96,2011-04-06,2,0,4,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.390833,0.387608,0.470833,0.263063,413,2395,2808,2011,Summer,Clear,April,2,0.17244258872651358,2
97,2011-04-07,2,0,4,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4375,0.433696,0.602917,0.162312,571,2570,3141,2011,Summer,Clear,April,3,0.22217898832684824,2
98,2011-04-08,2,0,4,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.335833,0.324479,0.83625,0.226992,172,1299,1471,2011,Summer,Mist,April,4,0.13240954580446498,2
99,2011-04-09,2,0,4,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.3425,0.341529,0.8775,0.133083,879,1576,2455,2011,Summer,Mist,April,5,0.557741116751269,2
100,2011-04-10,2,0,4,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.426667,0.426737,0.8575,0.146767,1188,1707,2895,2011,Summer,Mist,April,6,0.6959578207381371,2
101,2011-04-11,2,0,4,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.595652,0.565217,0.716956,0.324474,855,2493,3348,2011,Summer,Mist,April,0,0.34296028880866425,0
102,2011-04-12,2,0,4,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.5025,0.493054,0.739167,0.274879,257,1777,2034,2011,Summer,Mist,April,1,0.144625773776027,2
103,2011-04-13,2,0,4,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.4125,0.417283,0.819167,0.250617,209,1953,2162,2011,Summer,Mist,April,2,0.10701484895033282,2
104,2011-04-14,2,0,4,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4675,0.462742,0.540417,0.1107,529,2738,3267,2011,Summer,Clear,April,3,0.19320672023374727,0
105,2011-04-15,2,0,4,1,5,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.446667,0.441913,0.67125,0.226375,642,2484,3126,2011,Summer,Clear,April,4,0.2584541062801932,2
106,2011-04-16,2,0,4,0,6,0,"Light Snow, Light Rain + Thunderstorm + Scattered clouds, Light Rain + Scattered clouds",0.430833,0.425492,0.888333,0.340808,121,674,795,2011,Summer,Light Rain/Snow,April,5,0.1795252225519288,2
107,2011-04-17,2,0,4,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.456667,0.445696,0.479583,0.303496,1558,2186,3744,2011,Summer,Clear,April,6,0.7127172918572735,0
108,2011-04-18,2,0,4,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.5125,0.503146,0.5425,0.163567,669,2760,3429,2011,Summer,Clear,April,0,0.24239130434782608,0
109,2011-04-19,2,0,4,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.505833,0.489258,0.665833,0.157971,409,2795,3204,2011,Summer,Mist,April,1,0.14633273703041144,2
110,2011-04-20,2,0,4,0,3,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.595,0.564392,0.614167,0.241925,613,3331,3944,2011,Summer,Clear,April,2,0.1840288201741219,0
111,2011-04-21,2,0,4,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.459167,0.453892,0.407083,0.325258,745,3444,4189,2011,Summer,Clear,April,3,0.21631823461091754,0
112,2011-04-22,2,0,4,0,5,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.336667,0.321954,0.729583,0.219521,177,1506,1683,2011,Summer,Mist,April,4,0.11752988047808766,2
113,2011-04-23,2,0,4,0,6,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.46,0.450121,0.887917,0.230725,1462,2574,4036,2011,Summer,Mist,April,5,0.567987567987568,0
114,2011-04-24,2,0,4,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.581667,0.551763,0.810833,0.192175,1710,2481,4191,2011,Summer,Mist,April,6,0.6892382103990327,0
115,2011-04-25,2,0,4,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.606667,0.5745,0.776667,0.185333,773,3300,4073,2011,Summer,Clear,April,0,0.23424242424242425,0
116,2011-04-26,2,0,4,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.631667,0.594083,0.729167,0.3265,678,3722,4400,2011,Summer,Clear,April,1,0.18216012896292316,0
117,2011-04-27,2,0,4,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.62,0.575142,0.835417,0.3122,547,3325,3872,2011,Summer,Mist,April,2,0.16451127819548872,0
118,2011-04-28,2,0,4,0,4,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.6175,0.578929,0.700833,0.320908,569,3489,4058,2011,Summer,Mist,April,3,0.16308397821725423,0
119,2011-04-29,2,0,4,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.51,0.497463,0.457083,0.240063,878,3717,4595,2011,Summer,Clear,April,4,0.23621199892386333,0
120,2011-04-30,2,0,4,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.4725,0.464021,0.503333,0.235075,1965,3347,5312,2011,Summer,Clear,April,5,0.5870929190319689,0
121,2011-05-01,2,0,5,0,0,0,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.451667,0.448204,0.762083,0.106354,1138,2213,3351,2011,Summer,Mist,May,6,0.5142340713962946,0
122,2011-05-02,2,0,5,0,1,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.549167,0.532833,0.73,0.183454,847,3554,4401,2011,Summer,Mist,May,0,0.23832301631963984,0
123,2011-05-03,2,0,5,0,2,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.616667,0.582079,0.697083,0.342667,603,3848,4451,2011,Summer,Mist,May,1,0.1567047817047817,0
124,2011-05-04,2,0,5,0,3,1,"Mist + Cloudy, Mist + Broken clouds, Mist + Few clouds, Mist",0.414167,0.40465,0.737083,0.328996,255,2378,2633,2011,Summer,Mist,May,2,0.10723296888141295,2
125,2011-05-05,2,0,5,0,4,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.459167,0.441917,0.444167,0.295392,614,3819,4433,2011,Summer,Clear,May,3,0.16077507200837915,0
126,2011-05-06,2,0,5,0,5,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.479167,0.474117,0.59,0.228246,894,3714,4608,2011,Summer,Clear,May,4,0.2407108239095315,0
127,2011-05-07,2,0,5,0,6,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.52,0.512621,0.54125,0.16045,1612,3102,4714,2011,Summer,Clear,May,5,0.5196647324306899,0
128,2011-05-08,2,0,5,0,0,0,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,2011,Summer,Clear,May,6,0.47783083219645295,0
129,2011-05-09,2,0,5,0,1,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.5325,0.525246,0.58875,0.176,664,3698,4362,2011,Summer,Clear,May,0,0.1795565170362358,0
130,2011-05-10,2,0,5,0,2,1,"Clear, Few clouds, Partly cloudy, Partly cloudy",0.5325,0.522721,0.489167,0.115671,694,4109,4803,2011,Summer,Clear,May,1,0.16889754198101728,0
